RIsearch	0	10	34	0.000000	0.000000	0.000000	
IntaRNA	18	0	16	0.529412	1.000000	0.727607	
RNAplex	34	23	0	1.000000	0.596491	0.772328	
RNAcofold	23	24	11	0.676471	0.489362	0.575360	
RNAup	0	8	34	0.000000	0.000000	0.000000	
RNAduplex	34	165	0	1.000000	0.170854	0.413345	
RNAhybrid	34	89	0	1.000000	0.276423	0.525759	
pairfold	20	24	14	0.588235	0.454545	0.517088	
bifold	19	10	15	0.558824	0.655172	0.605083	
ssearch	34	76	0	1.000000	0.309091	0.555959	
ractip	14	40	20	0.411765	0.259259	0.326732	
bistarna	14	7	20	0.411765	0.666667	0.523937	
DuplexFold	25	45	9	0.735294	0.357143	0.512450	
AccessFold	0	8	34	0.000000	0.000000	0.000000	
