RIsearch	9	0	2	0.818182	1.000000	0.904534	
IntaRNA	6	24	5	0.545455	0.200000	0.330289	
RNAplex	11	24	0	1.000000	0.314286	0.560612	
RNAcofold	10	14	1	0.909091	0.416667	0.615457	
RNAup	9	0	2	0.818182	1.000000	0.904534	
RNAduplex	11	157	0	1.000000	0.065476	0.255883	
RNAhybrid	0	88	11	0.000000	0.000000	0.000000	
pairfold	10	12	1	0.909091	0.454545	0.642824	
bifold	10	14	1	0.909091	0.416667	0.615457	
ssearch	0	163	11	0.000000	0.000000	0.000000	
ractip	1	51	10	0.090909	0.019231	0.041812	
bistarna	9	12	2	0.818182	0.428571	0.592157	
DuplexFold	0	42	11	0.000000	0.000000	0.000000	
AccessFold	0	11	11	0.000000	0.000000	0.000000	
