RIsearch	0	12	35	0.000000	0.000000	0.000000	
IntaRNA	13	0	22	0.371429	1.000000	0.609449	
RNAplex	13	0	22	0.371429	1.000000	0.609449	
RNAcofold	12	7	23	0.342857	0.631579	0.465340	
RNAup	13	0	22	0.371429	1.000000	0.609449	
RNAduplex	35	217	0	1.000000	0.138889	0.372678	
RNAhybrid	33	90	2	0.942857	0.268293	0.502953	
pairfold	0	16	35	0.000000	0.000000	0.000000	
bifold	12	5	23	0.342857	0.705882	0.491952	
ssearch	35	135	0	1.000000	0.205882	0.453743	
ractip	13	54	22	0.371429	0.194030	0.268455	
bistarna	7	13	28	0.200000	0.350000	0.264575	
DuplexFold	26	31	9	0.742857	0.456140	0.582106	
AccessFold	0	11	35	0.000000	0.000000	0.000000	
