RIsearch	17	21	0	1.000000	0.447368	0.668856	
IntaRNA	17	10	0	1.000000	0.629630	0.793492	
RNAplex	0	6	17	0.000000	0.000000	0.000000	
RNAcofold	0	18	17	0.000000	0.000000	0.000000	
RNAup	0	13	17	0.000000	0.000000	0.000000	
RNAduplex	17	166	0	1.000000	0.092896	0.304789	
RNAhybrid	17	150	0	1.000000	0.101796	0.319055	
pairfold	0	16	17	0.000000	0.000000	0.000000	
DuplexFold	13	88	4	0.764706	0.128713	0.313732	
bifold	0	18	17	0.000000	0.000000	0.000000	
ssearch	17	114	0	1.000000	0.129771	0.360237	
ractip	5	85	12	0.294118	0.055556	0.127827	
bistarna	6	16	11	0.352941	0.272727	0.310253	
AccessFold	0	10	17	0.000000	0.000000	0.000000	
