RIsearch	14	0	9	0.608696	1.000000	0.780189	
IntaRNA	14	0	9	0.608696	1.000000	0.780189	
RNAplex	21	0	2	0.913043	1.000000	0.955533	
RNAcofold	0	14	23	0.000000	0.000000	0.000000	
RNAup	12	0	11	0.521739	1.000000	0.722315	
RNAduplex	16	0	7	0.695652	1.000000	0.834058	
RNAhybrid	16	7	7	0.695652	0.695652	0.695652	
pairfold	0	14	23	0.000000	0.000000	0.000000	
DuplexFold	13	0	10	0.565217	1.000000	0.751809	
bifold	0	9	23	0.000000	0.000000	0.000000	
ssearch	14	17	9	0.608696	0.451613	0.524304	
ractip	0	18	23	0.000000	0.000000	0.000000	
bistarna	0	7	23	0.000000	0.000000	0.000000	
AccessFold	13	0	10	0.565217	1.000000	0.751809	
